method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
M07,ppv,22,0.9975512003647583,0.006093445852523339,1.0,0.9770586790797767,0.020492521284981448,0.0,0.0002930525201924893,1.0,0.00439578780288734
M06,ppv,22,0.9956537164734588,0.013621015675404123,1.0,0.9770586790797767,0.01859503739368217,3.0,0.0005026300645801942,0.9607843137254902,0.0060315607749623305
M10,ppv,22,0.9936640135164503,0.022723816606965017,1.0,0.9770586790797767,0.016605334436673527,16.0,0.0041838683298923394,0.7908496732026143,0.033557357904623
M08,ppv,22,0.9935141342520057,0.019417457963473432,1.0,0.9770586790797767,0.016455455172228982,9.0,0.0013967480890075116,0.8823529411764706,0.013967480890075115
M04np,ppv,22,0.9824232085853272,0.017756990462072547,0.9860196365975475,0.9770586790797767,0.005364529505550401,4.0,0.0037285953227358883,0.9120879120879121,0.033557357904623
M03,ppv,22,0.9815947674840676,0.01854207334344678,0.987245157288215,0.9770586790797767,0.004536088404290958,1.0,0.0012250235420688657,0.9809523809523809,0.013475258962757523
M04,ppv,22,0.9811963075347798,0.018657467850259214,0.9849094395243203,0.9770586790797767,0.004137628455002918,1.0,0.010862224704815628,0.9555555555555556,0.05431112352407814
B02,ppv,22,0.980151405255845,0.01958574943468776,0.9866186758684619,0.9770586790797767,0.00309272617606814,9.0,0.006318521553682498,0.8285714285714286,0.04422965087577749
M05,ppv,22,0.9795854986369712,0.02087674165653374,0.9882403477352775,0.9770586790797767,0.002526819557194501,16.0,0.007169734292803208,0.7647058823529411,0.04422965087577749
M05f,ppv,22,0.9783415339913026,0.02076922825532996,0.9826424612260356,0.9770586790797767,0.0012828549115257387,53.0,0.2659466461059248,0.30718954248366015,0.7978399383177743
M02,ppv,22,0.9780676671663243,0.02110960995235121,0.984441791303301,0.9770586790797767,0.0010089880865476715,24.0,0.7212766990291557,0.12727272727272726,0.7978399383177743
