rep,noise,true_snr,true_snr_eff,fe,estimator,est,err,lag1,artf,warn_corr
4,bw,20,20.0,False,snr_isoelectric_db,17.183370221843287,-2.816629778156713,0.801642918645126,0.04093567251461988,1.0
4,ma(emg),0,0.0,False,snr_beat_residual_db,-1.352014067434474,-1.352014067434474,0.21921387332983389,0.2982456140350877,1.0
4,ma(emg),0,0.0,False,snr_hsc_db,-0.921151404955427,-0.921151404955427,0.21921387332983389,0.2982456140350877,1.0
4,ma(emg),0,0.0,False,snr_isoelectric_db,13.758167265668622,13.758167265668622,0.21921387332983389,0.2982456140350877,1.0
4,ma(emg),5,5.0,False,snr_beat_residual_db,3.38337586743736,-1.6166241325626398,0.3577470672891746,0.2982456140350877,1.0
4,ma(emg),5,5.0,False,snr_hsc_db,3.41634981869418,-1.5836501813058201,0.3577470672891746,0.2982456140350877,1.0
4,ma(emg),5,5.0,False,snr_isoelectric_db,14.831567307089326,9.831567307089326,0.3577470672891746,0.2982456140350877,1.0
4,ma(emg),10,10.0,False,snr_beat_residual_db,7.688006657103887,-2.3119933428961126,0.43235026241218605,0.2046783625730994,1.0
4,ma(emg),10,10.0,False,snr_hsc_db,7.96468044626838,-2.03531955373162,0.43235026241218605,0.2046783625730994,1.0
4,ma(emg),10,10.0,False,snr_isoelectric_db,15.876678156351048,5.876678156351048,0.43235026241218605,0.2046783625730994,1.0
4,ma(emg),15,15.0,False,snr_beat_residual_db,11.197263735325667,-3.8027362646743335,0.609660818875755,0.05847953216374269,1.0
4,ma(emg),15,15.0,False,snr_hsc_db,12.950650586421723,-2.049349413578277,0.609660818875755,0.05847953216374269,1.0
4,ma(emg),15,15.0,False,snr_isoelectric_db,16.22657632828281,1.2265763282828104,0.609660818875755,0.05847953216374269,1.0
4,ma(emg),20,20.0,False,snr_beat_residual_db,13.366904331860354,-6.633095668139646,0.696088969767432,0.011695906432748537,1.0
4,ma(emg),20,20.0,False,snr_hsc_db,15.780150767093533,-4.219849232906467,0.696088969767432,0.011695906432748537,1.0
4,ma(emg),20,20.0,False,snr_isoelectric_db,16.44599249401789,-3.55400750598211,0.696088969767432,0.011695906432748537,1.0
4,em(motion),0,0.0,False,snr_beat_residual_db,5.558429116689979,5.558429116689979,0.787845693797804,0.16374269005847952,1.0
4,em(motion),0,0.0,False,snr_hsc_db,8.608172894076567,8.608172894076567,0.787845693797804,0.16374269005847952,1.0
4,em(motion),0,0.0,False,snr_isoelectric_db,20.07513754567516,20.07513754567516,0.787845693797804,0.16374269005847952,1.0
4,em(motion),5,5.0,False,snr_beat_residual_db,8.640011594325712,3.6400115943257116,0.801057947044884,0.14035087719298245,1.0
4,em(motion),5,5.0,False,snr_hsc_db,6.57859943368472,1.5785994336847198,0.801057947044884,0.14035087719298245,1.0
4,em(motion),5,5.0,False,snr_isoelectric_db,18.26738176768421,13.26738176768421,0.801057947044884,0.14035087719298245,1.0
4,em(motion),10,10.0,False,snr_beat_residual_db,13.079246329501593,3.0792463295015935,0.7470053216017917,0.07017543859649122,1.0
4,em(motion),10,10.0,False,snr_hsc_db,16.934079570538202,6.934079570538202,0.7470053216017917,0.07017543859649122,1.0
4,em(motion),10,10.0,False,snr_isoelectric_db,17.374599450549645,7.3745994505496455,0.7470053216017917,0.07017543859649122,1.0
4,em(motion),15,15.0,False,snr_beat_residual_db,13.328356820325265,-1.671643179674735,0.7284794600729189,0.05847953216374269,1.0
4,em(motion),15,15.0,False,snr_hsc_db,14.901449705121328,-0.09855029487867206,0.7284794600729189,0.05847953216374269,1.0
4,em(motion),15,15.0,False,snr_isoelectric_db,16.947524522364258,1.947524522364258,0.7284794600729189,0.05847953216374269,1.0
